H3,L3,L3,L4,L3
L5,L1,H2,L2,H5
H4,H3,L4,H4,L1
L1,L4,L3,L1,H2
L5,L5,H3,L2,L2
H3,G,L3,L3,H1
L4,L1,L2,H5,L5
H2,H3,H2,H1,L4
L3,L2,H1,L5,L5
L3,L2,L5,L2,L3
L5,L2,L3,L5,H2
L2,L2,H5,H1,L5
H1,H2,L4,L4,H3
L5,L5,L5,L3,L1
G,L1,H4,H5,H5
H5,L4,L2,L2,L1
H2,L5,L5,H1,L5
L5,H3,L5,L4,H1
L3,H4,H3,L5,L3
L5,H2,L3,L2,L5
L5,L4,L2,H4,G
L3,L1,G,L2,H1
H2,H1,L5,L2,L2
H4,L1,G,L1,H1
L4,L2,G,H1,L2
H3,L5,L3,H2,H5
H2,L4,G,H4,L2
L5,H3,H2,H5,L5
L4,H2,L1,L5,L3
L4,H3,L3,H5,H5
L5,H2,L4,H5,G
H5,L3,H1,H3,L3
L3,H2,H5,G,H4
L4,L1,S,L1,L1
L5,L5,H4,L3,L5
L4,L2,L2,L5,L2
H4,H5,L5,H1,H5
S,L2,H2,L5,L1
L5,H2,L3,H5,H4
L5,L5,L4,H5,L5
L5,L3,L1,H1,H4
H3,S,H2,L5,L3
L5,L1,L2,H1,H3
L5,L5,L2,H5,L1
L4,H2,L2,L2,H2
H4,S,H5,L5,L5
L5,L5,H5,L5,L3
L4,L4,H3,L5,H2
L5,L5,L1,L1,L3
H3,S,L2,L5,H3
H2,H1,H3,L5,G
L2,L2,H4,H1,L2
L2,L4,H5,H4,H5
L5,L5,L4,L5,L3
H5,H3,L5,L1,L5
L5,L2,H3,H5,L5
L5,H5,L2,L1,H4
H5,H5,H3,L4,H1
L4,L1,H2,L2,L2
L2,G,H3,H1,G
L1,L1,L4,H4,L5
L2,L1,L1,L2,H4
L1,L2,L5,H5,H5
L3,L4,G,L4,L5
H5,L5,L5,H2,H4
L2,L4,G,L5,L2
L1,S,L5,G,H4
H3,L4,L5,H3,H5
L5,L5,L5,L5,H5
H4,H1,G,L2,L1
H4,L1,H1,L3,H3
L1,L5,L4,H1,G
H1,H1,G,L5,L5
L5,L5,L5,L4,L3
L4,H5,H1,L3,L5
L4,H3,L2,L5,L3
L5,H3,H3,L5,L1
L3,L2,L4,L5,H4
