H2,L2,H1,L2,W,H2,L3
L4,L2,L3,H4,L4,L4,L1
L1,L3,L2,L3,H4,L2,L4
L3,H3,L1,T,L1,L2,L2
L4,H3,H2,H4,H4,H3,L4
L2,L1,L3,L1,L4,L3,H2
L4,H3,L4,L3,L4,L4,H3
H3,H2,H4,H3,L3,L3,L4
L4,H2,H4,L2,L4,H4,L1
H3,H2,L1,H1,L1,L3,H4
H3,L3,L3,L4,L4,H1,H4
H4,H4,H2,L3,L3,L4,L4
H3,L3,H1,L4,W,H4,L4
H2,L3,L2,H2,L2,L2,H2
H1,L4,L4,H3,P,L1,L4
H3,L2,L4,L4,L1,L4,H3
L1,L4,L1,H1,H1,L2,L1
L2,L1,L4,L3,H4,L4,H2
L3,H1,H4,L4,L4,L3,L4
H4,L1,H2,H3,H3,H3,H4
L1,T,W,L2,H3,L4,H3
H2,H3,L3,H2,L4,L1,L4
L4,L2,H2,L1,L4,L4,L3
L4,H4,H1,H4,H4,L1,H1
H4,L1,L3,L4,H2,L2,L2
H4,H3,H4,H2,H3,S,L4
L3,L1,H4,H1,L1,L4,L4
H4,H1,L1,L4,H4,L3,H3
L2,L4,L2,L1,H1,H4,L4
H1,L4,L1,S,L3,L4,L4
L3,H2,L4,L4,H2,L4,L2
H2,L4,L1,L4,L1,H2,L1
L4,L3,H1,L2,L3,H3,H1
L3,L3,H2,H3,L1,H1,L4
L2,L3,H3,L4,L4,H4,H3
L4,L4,T,L3,L2,H4,H4
L2,L2,H1,H3,L4,L2,H2
H4,L4,L4,L4,H1,H3,H3
L4,H2,L4,L4,H4,S,L3
L1,H3,H4,L3,L4,H2,L4
L4,H1,L4,H1,L4,L1,L1
L1,H2,H2,H4,L3,H1,L4
H1,L4,H2,L2,L4,L4,L3
L4,L3,H4,H3,W,H1,H4
L4,L4,L3,H2,L4,L1,H4
H3,L2,L3,H3,L2,L4,L2
H3,L4,L1,L3,L4,L1,L1
L4,H4,L4,L4,H1,L2,H3
L2,H3,L1,H4,L2,L3,H1
H3,H1,L1,H2,H3,H3,H4
L4,L1,H1,H1,L1,H1,L4
H1,L1,L4,L1,H2,H1,L4
H1,L3,L2,L1,H4,L4,L3
L4,L1,H2,L1,H3,H1,L4
L4,H1,L4,L4,L2,H4,H1
L3,L4,H3,L3,L1,L4,L1
L4,L4,L4,L3,H1,L4,L4
L4,L3,L4,H2,L3,L1,L2
L2,L4,H4,L4,L4,L4,H3
L4,L4,H1,H1,H2,L4,H4
H3,L2,H1,H2,L4,H3,H4
H1,L4,L4,L2,T,L2,L1
L1,H2,H3,L4,H2,H4,H4
H2,L3,H4,L3,L1,H2,L4
H4,L3,L3,L1,H1,H1,L3
L2,L4,L2,L2,L1,L2,H1
L4,H3,L1,L2,H4,L2,L1
L1,L4,L3,H3,L3,L3,L2
H2,L4,L4,L4,L1,L1,L4
H1,L2,L2,L3,H4,H2,L1
H1,H2,L3,L2,L4,L3,L4
H3,L4,W,L3,L4,L4,L4
L4,L1,L1,L1,H2,L4,L1
L4,H4,H3,H4,H1,H1,L4
H4,L3,L2,H3,L3,L3,L1
L3,L4,L1,H1,H3,L4,H2
H3,L3,L2,H2,H1,L1,H3
H1,L4,L4,H3,H4,L3,L2
L2,H4,L4,L1,L2,L4,L1
H2,H3,L3,L4,L3,H2,L2
L4,L4,L3,L2,L4,L4,L4
L3,H1,W,H3,L3,L4,L2
L4,L4,L4,H1,L4,H4,L4
H4,L2,H4,H3,H3,L4,L3
L1,L1,H2,L2,L3,L1,H4
L4,L2,H1,L3,H1,L2,H2
L4,H2,L2,H4,H3,H3,H1
H4,L4,L3,L4,H2,H2,L2
H2,L4,L4,L4,H1,H3,H4
L3,H3,H4,L3,L3,L1,L4
L1,L4,H3,L4,L4,L3,H3
L3,S,B,H4,L3,L1,H3
L4,L4,L4,L2,L1,H2,L4
L3,H2,H1,L1,L4,H3,L2
H2,L2,H1,L4,L2,B,L4
L3,L1,L2,L4,H2,L4,L4
L2,L2,L1,H4,L1,L4,L3
H4,L3,H3,L1,B,H3,L2
L1,H4,H2,H4,H4,L4,H3
L4,L4,L1,L4,H3,H4,H2
L2,L2,L4,L3,L2,H2,L2
L4,L1,L4,L2,L4,L4,H1
H2,L2,H1,L4,H4,H2,L1
L4,L4,H3,L3,L3,L4,H4
L4,L2,L4,L2,H3,H1,H3
H3,H3,H3,H1,L4,L4,L3
L4,H1,L2,L4,L2,H4,L1
H2,H4,L3,H2,L1,H2,H2
H1,L4,H4,L4,L4,L2,H2
L3,L4,H4,L4,L4,L3,L4
L4,H2,L1,H3,H1,L4,H4
L4,L1,H2,L4,L4,L3,L4
H4,H1,L1,L4,L2,H4,L2
L1,L4,L4,H1,L1,L2,L4
H1,L4,L2,H2,H2,L1,L2
L3,H4,L1,L2,L4,H3,L3
H2,L3,H1,L4,L3,H3,H4
L1,L4,P,L3,H4,L4,H1
L1,L1,H3,L3,L4,L2,L4
H3,L4,H2,L1,L1,L3,L3
L3,L4,H2,L1,L2,L4,L4
L2,H1,H4,W,H3,H4,H3
